timestamp,seed_record_id,direction,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_id_type,candidate_id_value,candidate_url,decision,reason,notes,source_file
2026-03-03T22:50:30,A013,backward,,,,,url,https://arxiv.org/abs/2504.05418,https://arxiv.org/abs/2504.05418,include,Imported as A031,"/backtesting.py/ (2025), accessed: August 26, 2025 17. Menoita, R., Silva, S.: Evolving financial trading strategies with vectorial genetic programming (2025), https://arxiv.org/abs/2504.05418 18. Moody, J., Wu, L., Liao, Y., Saffell, M.: Performance functions and reinforcement learning for trading systems and portfolios. Journal of forecasting 17(5-",papers/md/ssrn-5889762.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://aclanthology.org/2023.emnlp-industry.69/,https://aclanthology.org/2023.emnlp-industry.69/,include,Duplicate/published version of A038 (arXiv:2306.11025),"e Processing: Industry Track, pages 739–753, Singapore, December 2023c. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp-industry.69. URL https://aclanthology.org/2023.emnlp-industry.69/. Yangyang Yu, Zhiyuan Yao, Haohang Li, Zhiyang Deng, YuechePn Jiang, Yupeng Cao, Zhi Chen, Jordan Suchow, Zhenyu Cui, Rong Liu, et al. Fincon: A synthesized llm",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://aclanthology.org/2024.findings-acl.233/,https://aclanthology.org/2024.findings-acl.233/,include,Imported as A041,"Linguistics: ACL 2024, pages 3891–3902, Bangkok, Thailand, August 2024. Association for Computational Linguistics. doi: 10.18653/v1/ 2024.findings-acl.233. URL https://aclanthology.org/2024.findings-acl.233/. Yizun Lin, Zhao-Rong Lai, and Cheng Li. A globally optimal portfolio for m-sparse sharpe ratio maximization. In The Thirty-eighth Annual Conference on Neural I",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://aclanthology.org/2024.findings-acl.774/,https://aclanthology.org/2024.findings-acl.774/,include,Imported as A046,"inguistics: ACL 2024, pages 13064–13087, Bangkok, Thailand, August 2024. Association for Computational Linguistics. doi: 10.18653/v1/2024.findings-acl.774. URL https://aclanthology.org/2024.findings-acl.774/. Joshua Brodie, Ingrid Daubechies, Christine De Mol, Domenico Giannone, and Ignace Loris. Sparse and stable markowitz portfolios. Proceedings of the National Ac",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://aclanthology.org/2024.finnlp-2.4/,https://aclanthology.org/2024.finnlp-2.4/,include,Imported as A045,"e Eighth Financial Technology and Natural Language Processing and the 1st Agent AI for Scenario Planning, pages 42–53, Jeju, South Korea, 3 August 2024. -. URL https://aclanthology.org/2024.finnlp-2.4/. Stephen F Witt and Richard Dobbins. The markowitz contribution to portfolio theory. Managerial finance, 5(1):3–17, 1979. Xiao Yang, Weiqing Liu, Dong Zhou, Jia",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://arxiv.org/abs/2002.08245,https://arxiv.org/abs/2002.08245,include,Imported as A039,", Yuanqi Li, Yifei Jin, and Jian Li. Autoalpha: an efficient hierarchical evolutionary algorithm for mining alpha factors in quantitative investment, 2020. URL https://arxiv.org/abs/2002.08245. Huaqin Zhao, Zhengliang Liu, Zihao Wu, Yiwei Li, Tianze Yang, Peng Shu, Shaochen Xu, Haixing Dai, Lin Zhao, Hanqi Jiang, Yi Pan, Junhao Chen, Yifan Zhou, Gengc",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://arxiv.org/abs/2009.11189,https://arxiv.org/abs/2009.11189,include,Imported as A034,"rial finance, 5(1):3–17, 1979. Xiao Yang, Weiqing Liu, Dong Zhou, Jiang Bian, and Tie-Yan Liu. Qlib: An ai-oriented quantitative investment platform, 2020. URL https://arxiv.org/abs/2009.11189. Shunyu Yao, Fei Liu, Xi Lin, Zhichao Lu, Zhenkun Wang, and Qingfu Zhang. Multi-objective evolution of heuristic using large language model. Proceedings of the",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://arxiv.org/abs/2308.00016,https://arxiv.org/abs/2308.00016,include,Imported as A025,"o Wang, Hang Yuan, Leon Zhou, Lionel M. Ni, Heung-Yeung Shum, and Jian Guo. Alpha-gpt: Human-ai interactive alpha mining for quantitative investment, 2023. URL https://arxiv.org/abs/2308.00016. Yining Wang, Jinman Zhao, and Yuri Lawryshyn. GPT-signal: Generative AI for semi-automated feature engineering in the alpha research process. In Chung-Chi Chen",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,arxiv,2401.11641,https://arxiv.org/abs/2401.11641,include,Imported as A048,"n, Junhao Chen, Yifan Zhou, Gengchen Mai, Ninghao Liu, and Tianming Liu. Revolutionizing finance with llms: An overview of applications and insights, 2024. URL https://arxiv.org/abs/2401. 11641. 13

EFS: Evolutionary Factor Searching for Sparse Portfolio Optimization Using Large Language Models A Algorithm Details A.1 Algorithm of EFS Framework",papers/md/2507.17211v1.md
2026-03-03T22:50:30,A015,backward,,,,,url,https://arxiv.org/abs/2402.09746,https://arxiv.org/abs/2402.09746,include,Imported as A030,"n Processing Systems, 37:137010–137045, 2024. Hang Yuan, Saizhuo Wang, and Jian Guo. Alpha-gpt 2.0: Human-in-the-loop ai for quantitative investment, 2024. URL https://arxiv.org/abs/2402.09746. Tianping Zhang, Yuanqi Li, Yifei Jin, and Jian Li. Autoalpha: an efficient hierarchical evolutionary algorithm for mining alpha factors in quantitative investm",papers/md/2507.17211v1.md
