timestamp,stage,record_id,source,title,authors,year,venue,url,decision,reason,notes
2026-03-15T13:42:57,snowball_title_metadata,,snowballing_round6,"Quant 4.0: engineering quantitative investment with automated, explainable, and knowledge-driven artificial intelligence",Jian Guo; Saizhuo Wang; Lionel M. Ni; Heung‐Yeung Shum,2024,,https://openalex.org/W4405828000,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:42:57,snowball_title_metadata,,snowballing_round6,Can AI help with your personal finances?,Oudom Hean; Utsha Saha; Binita Saha,2025,,https://openalex.org/W4406219584,exclude,"Exclude at title/metadata screening: finance/LLM paper without a direct trading-system, portfolio-construction, execution, or benchmark contribution.","Relevant to broader GenAI-in-finance, but outside the narrower system-building scope of this survey."
2026-03-15T13:42:57,snowball_title_metadata,,snowballing_round6,Comparing ChatGPT And LSTM In Predicting Changes In Quarterly Financial Metrics,Vitali Chaiko,2024,,https://openalex.org/W4400211875,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:00,snowball_title_metadata,,snowballing_round6,Evaluation of Financial Risk Management of Digital Services Companies Using Integrated Entropy-Weight TOPSIS Model,Weng Siew Lam; Weng Siew Lam; P. F. Lee,2026,,https://openalex.org/W7127281088,exclude,"Exclude at title/metadata screening: finance/LLM paper without a direct trading-system, portfolio-construction, execution, or benchmark contribution.","Relevant to broader GenAI-in-finance, but outside the narrower system-building scope of this survey."
2026-03-15T13:43:02,snowball_title_metadata,,snowballing_round6,Risk-Aware Crypto Price Prediction Using DQN with Volatility-Adjusted Rewards Across Multi-Period State Representations,Otabek Sattarov; Fazliddin Makhmudov,2025,,https://openalex.org/W4414334067,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:15,snowball_title_metadata,,snowballing_round6,&lt;b&gt;&lt;span&gt;Agentic AI Regulation Under the AI Act: A Proof of Concept or A Concept to Prove?&lt;/span&gt;&lt;/b&gt;,CHRISTINE SALOUSTROU,2025,,https://openalex.org/W4413385516,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:15,snowball_title_metadata,,snowballing_round6,Bank of the future: automation of processes with the help of AI agents,T. N. Zverkova,2025,,https://openalex.org/W4415385403,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:15,snowball_title_metadata,,snowballing_round6,Multi-Agent LLM Approach for Moderating E-Commerce Customer Service Responses,T. Gomes; André Gomes Regino; Rodrigo Caus; Victor Sotelo; Julio Cesar dos Reis,2025,,https://openalex.org/W4416744807,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:15,snowball_title_metadata,,snowballing_round6,Transformation of the organizational structure of a regional bank in the conditions,T. N. Zverkova,2026,,https://openalex.org/W7127325182,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:15,snowball_title_metadata,,snowballing_round6,Changing Bank Analysis Processes under the Influence of Artificial Intelligence Technologies,T. N. Zverkova,2026,,https://openalex.org/W7133209970,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:23,snowball_title_metadata,,snowballing_round6,Toward a unified agentic framework for regime-aware portfolio optimization with LLM signals,Lamukanyani Alson Mantshimuli; John Weirstrass Muteba Mwamba,2026,,https://openalex.org/W7134238882,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:26,snowball_title_metadata,,snowballing_round6,A Comprehensive Survey on Machine Learning-Based Quantitative Technical Analysis in Financial Markets,Qifeng He; Xiaoshu Zhu; Yan Zhou; Feng Ding; Wenbin Chen,2026,,https://openalex.org/W7134917867,exclude,Exclude at title/metadata screening: adjacent survey/review/bibliometric paper outside the corpus of primary technical studies and benchmark/infrastructure papers.,"Coverage discussion remains in the manuscript, but these papers are not admitted into the main evidence corpus."
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,LLM-Powered AI Agent Systems and Their Applications in Industry,Guannan Liang; Qianqian Tong,2025,,https://openalex.org/W4413180152,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,Hierarchical RNNs with graph policy and attention for drone swarm,Xiaolong Wei; Wenpeng Cui; Xianglin Huang; Lifang Yang; XiaoQi Geng; Zhulin Tao; Yan Zhai,2024,,https://openalex.org/W4393118594,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,A Survey on Enhancing Causal Reasoning Ability of Large Language Models,Xin Li; Zhuo Cai; Shoujin Wang; Kun Yu; Fang Chen,2025,,https://openalex.org/W4411446567,exclude,Exclude at title/metadata screening: adjacent survey/review/bibliometric paper outside the corpus of primary technical studies and benchmark/infrastructure papers.,"Coverage discussion remains in the manuscript, but these papers are not admitted into the main evidence corpus."
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,A Comprehensive Review of Generative AI in Finance,David Kuo Chuen Lee; Chong Guan; Yinghui Yu; Qinxu Ding,2024,,https://openalex.org/W4401129340,exclude,Exclude at title/metadata screening: adjacent survey/review/bibliometric paper outside the corpus of primary technical studies and benchmark/infrastructure papers.,"Coverage discussion remains in the manuscript, but these papers are not admitted into the main evidence corpus."
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,FinTeam: A Multi-agent Collaborative Intelligence System for Comprehensive Financial Scenarios,Yingqian Wu; Qiushi Wang; Zefei Long; Rong Ye; Zhongtian Lu; Xianyin Zhang; Bingxuan Li; Wei Chen; Liwen Zhang; Zhongyu Wei,2025,,https://openalex.org/W4416532782,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:33,snowball_title_metadata,,snowballing_round6,Adaptive LLM-based multi-agent systems to enhance quantitative trading performance,En Cheng; Cheng-Jui Tseng; Hsueh‐Ting Chu,2026,,https://openalex.org/W7135075882,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,Enhancing Investment Analysis: Optimizing AI-Agent Collaboration in Financial Research,Xuewen Han; Ningzhi Wang; Shangkun Che; Hongyang Yang; Kunpeng Zhang; Sean Xin Xu,2024,,https://openalex.org/W4404351494,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,AI in Investment Analysis: LLMs for Equity Stock Ratings,Kassiani Papasotiriou; Srijan Sood; Shayleen Reynolds; Tucker Balch,2024,,https://openalex.org/W4404350209,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,Emotion-Aware Decision Support System for Real-Time Financial Sentiment and Behavior-Based Trading Risk Advisory,Tristan Lim,2025,,https://openalex.org/W4408562466,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,Large Language Models as Simulated Human Investors: A Paradox of Model Sophistication,Jilin Wang; Yongxin Xu; L Zhang,2025,,https://openalex.org/W4413811579,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,Strategic Complexity and Behavioral Distortion: Retail Investing Under Large Language Model Augmentation,Dmitrii Gimmelberg; Iveta Ludviga,2025,,https://openalex.org/W4415953732,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,MENTOR: a multi-agent framework for event and narrative trend prediction with optimized reasoning,Liyuan Chen; Gaoguo Jia; Dongsheng Gu; Jiangpeng Yan; Yuhang Jiang; Xiu Li; Xiao‐Jun Zeng,2025,,https://openalex.org/W4416264533,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:36,snowball_title_metadata,,snowballing_round6,Implementing domain-specific LLMs for strategic investment decisions: a retrospective case study comparing AI and human expertise,Mohamed A. Hamid,2025,,https://openalex.org/W4417232768,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:37,snowball_title_metadata,,snowballing_round6,Can large language models effectively process and execute financial trading instructions?,Yu Kang; Xin Yang; G. Y. WANG; Y.-C. Wang; Zhanyu Wang; M.T. Liu,2025,,https://openalex.org/W4416264522,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:37,snowball_title_metadata,,snowballing_round6,Adaptive LLM-based multi-agent systems to enhance quantitative trading performance,En Cheng; Cheng-Jui Tseng; Hsueh‐Ting Chu,2026,,https://openalex.org/W7135075882,exclude,"Exclude at submission freeze: potentially relevant on title/metadata, but not fully audited and extracted before the conservative corpus freeze.",This review now privileges a fully auditable accepted-and-extracted corpus over opportunistic late additions.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,LLM-Powered AI Agent Systems and Their Applications in Industry,Guannan Liang; Qianqian Tong,2025,,https://openalex.org/W4413180152,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,The future of the mining industry with artificial intelligence,Walid K. Hasan; Mohammad Al-Fawa’reh; Matt Madelatparvar; Nima Fakhralmobasheri,2025,,https://openalex.org/W4407051562,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,"Quant 4.0: engineering quantitative investment with automated, explainable, and knowledge-driven artificial intelligence",Jian Guo; Saizhuo Wang; Lionel M. Ni; Heung‐Yeung Shum,2024,,https://openalex.org/W4405828000,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,QuantBench: benchmarking AI methods for quantitative investment from a full pipeline perspective,Saizhuo Wang; Hao Kong; Jiadong Guo; Fengrui Hua; Yiyan Qi; Wanyun Zhou; Jiahao Zheng; Xinyu Wang; Lionel M. Ni; Jian Guo,2025,,https://openalex.org/W4415960652,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,Can Large World Models in Finance Lead Us to Utopia?,Asimwe Yassin,2024,,https://openalex.org/W4396763874,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:39,snowball_title_metadata,,snowballing_round6,A survey on large language model-based alpha mining,Junjie Zhang; Shuoling Liu; Tengwen Zhang; Yuchen Shi,2025,,https://openalex.org/W4416303649,exclude,Exclude at title/metadata screening: adjacent survey/review/bibliometric paper outside the corpus of primary technical studies and benchmark/infrastructure papers.,"Coverage discussion remains in the manuscript, but these papers are not admitted into the main evidence corpus."
2026-03-15T13:43:41,snowball_title_metadata,,snowballing_round6,LLM-Powered AI Agent Systems and Their Applications in Industry,Guannan Liang; Qianqian Tong,2025,,https://openalex.org/W4413180152,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:41,snowball_title_metadata,,snowballing_round6,QuantBench: benchmarking AI methods for quantitative investment from a full pipeline perspective,Saizhuo Wang; Hao Kong; Jiadong Guo; Fengrui Hua; Yiyan Qi; Wanyun Zhou; Jiahao Zheng; Xinyu Wang; Lionel M. Ni; Jian Guo,2025,,https://openalex.org/W4415960652,exclude,"Exclude at title/metadata screening: does not provide a sufficiently direct, auditable contribution to LLM-enabled trading systems under the conservative submission freeze.",Resolved conservatively to close the snowballing backlog without widening the corpus beyond its stated scope.
2026-03-15T13:43:41,snowball_title_metadata,,snowballing_round6,A survey on large language model-based alpha mining,Junjie Zhang; Shuoling Liu; Tengwen Zhang; Yuchen Shi,2025,,https://openalex.org/W4416303649,exclude,Exclude at title/metadata screening: adjacent survey/review/bibliometric paper outside the corpus of primary technical studies and benchmark/infrastructure papers.,"Coverage discussion remains in the manuscript, but these papers are not admitted into the main evidence corpus."
